document,Statement,itemname,value,memberstring1,instant,StartDate,EndDate
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,330787,BuildingsAndImprovements,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,337508,BuildingsAndImprovements,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,337508,BuildingsAndImprovements,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,337508,BuildingsAndImprovements,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,337508,BuildingsAndImprovements,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,93808,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,93808,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,93808,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,93808,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,98491,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,98491,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,98491,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,98491,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,15036,Infrastructure,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,15036,Infrastructure,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,15036,Infrastructure,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,15036,Infrastructure,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,26742,Infrastructure,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,26742,Infrastructure,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,26742,Infrastructure,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,26742,Infrastructure,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,439631,GovernmentalActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,439631,GovernmentalActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,439631,GovernmentalActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,1541131,SewageSystem,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,1541131,SewageSystem,2018-03-31,,
